soc_code,title,tech_skills,soft_skills
11-3021.00,Computer and Information Systems Managers,"python,sql,project management,cloud computing,cybersecurity,it governance,budgeting,system architecture","leadership,communication,strategic thinking,decision making,team management"
11-3031.00,Financial Managers,"excel,financial modeling,sql,erp systems,forecasting,accounting software,power bi","analytical thinking,leadership,communication,attention to detail,strategic planning"
11-9041.00,Architectural and Engineering Managers,"autocad,project management software,cad,matlab,building information modeling","leadership,communication,problem solving,decision making,team management"
13-1082.00,Project Management Specialists,"jira,ms project,agile,scrum,confluence,excel,risk management","communication,leadership,organization,problem solving,stakeholder management"
13-2011.00,Accountants and Auditors,"excel,quickbooks,sap,erp,sql,accounting software,gaap","attention to detail,analytical thinking,communication,ethics,time management"
15-1211.00,Computer Systems Analysts,"sql,python,java,system design,uml,erp,business analysis","analytical thinking,communication,problem solving,collaboration,documentation"
15-1212.00,Information Security Analysts,"cybersecurity,firewalls,siem,penetration testing,python,network security,compliance,vulnerability assessment","analytical thinking,problem solving,communication,attention to detail,continuous learning"
15-1221.00,Computer and Information Research Scientists,"python,machine learning,deep learning,pytorch,tensorflow,research methodology,statistics,algorithms","research,critical thinking,communication,problem solving,collaboration"
15-1231.00,Computer Network Support Specialists,"networking,tcp/ip,cisco,linux,windows server,troubleshooting,dns,dhcp","problem solving,communication,patience,attention to detail,customer service"
15-1232.00,Computer User Support Specialists,"windows,macos,linux,help desk software,hardware troubleshooting,active directory,microsoft 365","communication,patience,problem solving,empathy,documentation"
15-1241.00,Computer Network Architects,"networking,cisco,aws,azure,gcp,network design,firewalls,bgp,ospf","analytical thinking,problem solving,communication,strategic planning,documentation"
15-1242.00,Database Administrators,"sql,postgresql,mysql,oracle,mongodb,database design,backup recovery,performance tuning","analytical thinking,attention to detail,problem solving,communication,reliability"
15-1243.00,Database Architects,"sql,nosql,postgresql,cassandra,mongodb,data modeling,etl,database design","analytical thinking,problem solving,communication,attention to detail,strategic thinking"
15-1244.00,Network and Computer Systems Administrators,"linux,windows server,networking,active directory,bash,powershell,virtualization,docker","problem solving,communication,reliability,attention to detail,documentation"
15-1251.00,Computer Programmers,"python,java,c++,javascript,sql,git,algorithms,data structures","problem solving,attention to detail,analytical thinking,communication,continuous learning"
15-1252.00,Software Developers,"python,javascript,java,git,rest api,docker,sql,system design","problem solving,teamwork,communication,creativity,attention to detail"
15-1253.00,Software Quality Assurance Analysts and Testers,"selenium,pytest,jest,postman,sql,git,ci/cd,test automation,jira","attention to detail,analytical thinking,communication,problem solving,documentation"
15-1254.00,Web Developers,"html,css,javascript,react,node.js,rest api,git,sql","creativity,communication,problem solving,attention to detail,collaboration"
15-1255.00,Web and Digital Interface Designers,"figma,html,css,javascript,adobe xd,sketch,accessibility,ux design","creativity,communication,empathy,attention to detail,collaboration"
15-1299.01,Data Scientists,"python,machine learning,statistics,pandas,numpy,scikit-learn,sql,tensorflow,pytorch","analytical thinking,communication,problem solving,curiosity,data storytelling"
15-1299.02,Data Engineers,"python,sql,spark,airflow,kafka,dbt,docker,aws,etl","problem solving,communication,reliability,attention to detail,collaboration"
15-1299.03,Machine Learning Engineers,"python,tensorflow,pytorch,mlops,docker,kubernetes,aws,model deployment","research,problem solving,communication,analytical thinking,continuous learning"
15-1299.04,Penetration Testers and Vulnerability Assessors,"penetration testing,kali linux,python,burp suite,metasploit,network security,scripting","analytical thinking,problem solving,communication,ethics,continuous learning"
15-1299.05,Artificial Intelligence Engineers,"python,deep learning,pytorch,tensorflow,nlp,computer vision,mlops,docker","research,problem solving,communication,critical thinking,continuous learning"
15-1299.06,Digital Forensics Analysts,"forensics tools,python,sql,incident response,linux,windows forensics,network analysis","analytical thinking,attention to detail,communication,ethics,documentation"
15-2011.00,Actuaries,"r,python,sas,excel,statistics,predictive modeling,sql","analytical thinking,communication,problem solving,attention to detail,business acumen"
15-2031.00,Operations Research Analysts,"python,r,matlab,excel,optimization,statistics,simulation,sql","analytical thinking,communication,problem solving,critical thinking,collaboration"
15-2041.00,Statisticians,"r,python,sas,spss,statistics,data visualization,experimental design","analytical thinking,communication,attention to detail,problem solving,research"
15-2051.00,Data Analysts,"sql,excel,tableau,python,power bi,statistics,data visualization","analytical thinking,communication,attention to detail,problem solving,storytelling"
17-2061.00,Computer Hardware Engineers,"c,c++,vhdl,verilog,embedded systems,matlab,fpga,hardware design","problem solving,analytical thinking,attention to detail,teamwork,communication"
